Дата,Средняя
27/10/2020,23.8
28/10/2020,23.4
29/10/2020,23.3
30/10/2020,23.2
31/10/2020,23.2
01/11/2020,22.5
02/11/2020,21.9
03/11/2020,21.9
04/11/2020,21.6
05/11/2020,23.3
06/11/2020,23.3
07/11/2020,23.4
08/11/2020,23.0
09/11/2020,22.4
10/11/2020,22.4
11/11/2020,22.2
12/11/2020,21.6
13/11/2020,21.7
14/11/2020,23.4
15/11/2020,23.4
16/11/2020,22.8
17/11/2020,20.1
18/11/2020,20.3
19/11/2020,19.5
20/11/2020,19.8
21/11/2020,17.7
22/11/2020,18.2
23/11/2020,18.8
24/11/2020,19.9
25/11/2020,21.3
26/11/2020,19.3
27/11/2020,19.3
28/11/2020,18.7
29/11/2020,18.7
30/11/2020,19.6
01/12/2020,20.3
02/12/2020,20.3
03/12/2020,20.1
04/12/2020,20.3
05/12/2020,20.6
